match_id,game_duration,queue_id,champion_name,kills,deaths,assists,win,total_minions_killed,gold_earned
KR_7920298924,1020,450,Corki,7,17,19,False,23,11210
KR_7920290026,536,450,Ahri,4,1,23,True,15,6573
KR_7920250589,1281,450,Taric,2,9,29,False,7,11800
KR_7920059401,1425,450,Nautilus,22,19,25,False,64,18108
KR_7919205776,1047,450,Ziggs,12,7,36,True,65,13239
KR_7919185523,1076,450,Kassadin,2,6,19,True,36,10746
KR_7919152378,1455,450,Viktor,14,15,37,True,61,17252
KR_7917963038,953,450,Skarner,1,13,24,False,14,8963
KR_7917933141,920,450,MissFortune,8,11,8,False,55,10908
KR_7917877795,1519,450,Gnar,3,17,24,True,67,14913
KR_7920298924,1020,450,Corki,7,17,19,False,23,11210
KR_7920290026,536,450,Ahri,4,1,23,True,15,6573
KR_7920250589,1281,450,Taric,2,9,29,False,7,11800
KR_7920059401,1425,450,Nautilus,22,19,25,False,64,18108
KR_7919205776,1047,450,Ziggs,12,7,36,True,65,13239
KR_7919185523,1076,450,Kassadin,2,6,19,True,36,10746
KR_7919152378,1455,450,Viktor,14,15,37,True,61,17252
KR_7917963038,953,450,Skarner,1,13,24,False,14,8963
KR_7917933141,920,450,MissFortune,8,11,8,False,55,10908
KR_7917877795,1519,450,Gnar,3,17,24,True,67,14913
KR_7920298924,1020,450,Corki,7,17,19,False,23,11210
KR_7920290026,536,450,Ahri,4,1,23,True,15,6573
KR_7920250589,1281,450,Taric,2,9,29,False,7,11800
KR_7920059401,1425,450,Nautilus,22,19,25,False,64,18108
KR_7919205776,1047,450,Ziggs,12,7,36,True,65,13239
KR_7919185523,1076,450,Kassadin,2,6,19,True,36,10746
KR_7919152378,1455,450,Viktor,14,15,37,True,61,17252
KR_7917963038,953,450,Skarner,1,13,24,False,14,8963
KR_7917933141,920,450,MissFortune,8,11,8,False,55,10908
KR_7917877795,1519,450,Gnar,3,17,24,True,67,14913
KR_7920298924,1020,450,Corki,7,17,19,False,23,11210
KR_7920290026,536,450,Ahri,4,1,23,True,15,6573
KR_7920250589,1281,450,Taric,2,9,29,False,7,11800
KR_7920059401,1425,450,Nautilus,22,19,25,False,64,18108
KR_7919205776,1047,450,Ziggs,12,7,36,True,65,13239
KR_7919185523,1076,450,Kassadin,2,6,19,True,36,10746
KR_7919152378,1455,450,Viktor,14,15,37,True,61,17252
KR_7917963038,953,450,Skarner,1,13,24,False,14,8963
KR_7917933141,920,450,MissFortune,8,11,8,False,55,10908
KR_7917877795,1519,450,Gnar,3,17,24,True,67,14913
KR_7920298924,1020,450,Corki,7,17,19,False,23,11210
KR_7920290026,536,450,Ahri,4,1,23,True,15,6573
KR_7920250589,1281,450,Taric,2,9,29,False,7,11800
KR_7920059401,1425,450,Nautilus,22,19,25,False,64,18108
KR_7919205776,1047,450,Ziggs,12,7,36,True,65,13239
KR_7919185523,1076,450,Kassadin,2,6,19,True,36,10746
KR_7919152378,1455,450,Viktor,14,15,37,True,61,17252
KR_7917963038,953,450,Skarner,1,13,24,False,14,8963
KR_7917933141,920,450,MissFortune,8,11,8,False,55,10908
KR_7917877795,1519,450,Gnar,3,17,24,True,67,14913
KR_7920298924,1020,450,Corki,7,17,19,False,23,11210
KR_7920290026,536,450,Ahri,4,1,23,True,15,6573
KR_7920250589,1281,450,Taric,2,9,29,False,7,11800
KR_7920059401,1425,450,Nautilus,22,19,25,False,64,18108
KR_7919205776,1047,450,Ziggs,12,7,36,True,65,13239
KR_7919185523,1076,450,Kassadin,2,6,19,True,36,10746
KR_7919152378,1455,450,Viktor,14,15,37,True,61,17252
KR_7917963038,953,450,Skarner,1,13,24,False,14,8963
KR_7917933141,920,450,MissFortune,8,11,8,False,55,10908
KR_7917877795,1519,450,Gnar,3,17,24,True,67,14913
